sample_id,scene,metric,spconv_k0,spconv_k1,spconv_k3,spconv_k5,spconv_gain,official_flex_k0,official_flex_k1,official_flex_k3,official_flex_k5,official_flex_gain,official_minus_spconv,official_gain_over_spconv,spconv_outcome,official_outcome
ai_023_003_cam_00_frame.0008,ai_023_003,native_disparity_mae,0.09494911879301071,0.08914980292320251,0.0799187645316124,0.07342931628227234,0.015030354261398315,0.09494911879301071,0.06575137376785278,0.05999801680445671,0.05766163766384125,0.034951101988554,-0.019920747727155685,0.019920747727155685,win,win
ai_023_003_cam_00_frame.0083,ai_023_003,native_disparity_mae,0.05449019372463226,0.05100399628281593,0.046543002128601074,0.04554961249232292,0.007947191596031189,0.05449019372463226,0.017712902277708054,0.0171321053057909,0.018658343702554703,0.03735808841884136,-0.029410896822810173,0.029410896822810173,win,win
ai_023_003_cam_01_frame.0057,ai_023_003,native_disparity_mae,0.034735385328531265,0.029885584488511086,0.022809352725744247,0.020567553117871284,0.011926032602787018,0.034735385328531265,0.016496069729328156,0.012235005386173725,0.013266182504594326,0.02250037994235754,-0.010574347339570522,0.010574347339570522,win,win
ai_024_012_cam_00_frame.0032,ai_024_012,native_disparity_mae,0.08326248824596405,0.08095580339431763,0.07753095775842667,0.07672567665576935,0.005731530487537384,0.08326248824596405,0.06292339414358139,0.0588713064789772,0.05730140954256058,0.024391181766986847,-0.018659651279449463,0.018659651279449463,win,win
ai_024_013_cam_00_frame.0007,ai_024_013,native_disparity_mae,0.021041838452219963,0.01774396188557148,0.013507377356290817,0.014781057834625244,0.007534461095929146,0.021041838452219963,0.012879333458840847,0.01234991755336523,0.015748362988233566,0.008691920898854733,-0.0011574598029255867,0.0011574598029255867,win,win
ai_024_013_cam_00_frame.0081,ai_024_013,native_disparity_mae,0.017494462430477142,0.013845903798937798,0.01205575093626976,0.016624324023723602,0.005438711494207382,0.017494462430477142,0.014741964638233185,0.022277887910604477,0.027809342369437218,-0.004783425480127335,0.010222136974334717,-0.010222136974334717,win,loss
ai_028_008_cam_00_frame.0056,ai_028_008,native_disparity_mae,0.07330522686243057,0.07228345423936844,0.0730944499373436,0.07570730149745941,0.0002107769250869751,0.07330522686243057,0.0798090323805809,0.08571692556142807,0.09028800576925278,-0.012411698698997498,0.012622475624084473,-0.012622475624084473,win,loss
ai_030_008_cam_01_frame.0005,ai_030_008,native_disparity_mae,0.05964967980980873,0.054885901510715485,0.04897535964846611,0.049727752804756165,0.01067432016134262,0.05964967980980873,0.05172320827841759,0.05313326418399811,0.055010776966810226,0.006516415625810623,0.004157904535531998,-0.004157904535531998,win,win
ai_031_004_cam_00_frame.0047,ai_031_004,native_disparity_mae,0.05962589755654335,0.04964176565408707,0.03441309183835983,0.04251468554139137,0.025212805718183517,0.05962589755654335,0.03229242563247681,0.03005983680486679,0.029010405763983727,0.02956606075167656,-0.004353255033493042,0.004353255033493042,win,win
ai_031_010_cam_00_frame.0022,ai_031_010,native_disparity_mae,0.04652160406112671,0.045494332909584045,0.045229971408843994,0.048053376376628876,0.0012916326522827148,0.04652160406112671,0.04194187745451927,0.04124389588832855,0.04346730560064316,0.005277708172798157,-0.003986075520515442,0.003986075520515442,win,win
ai_031_010_cam_00_frame.0096,ai_031_010,native_disparity_mae,0.043779052793979645,0.03990808129310608,0.036099519580602646,0.04019685462117195,0.007679533213376999,0.043779052793979645,0.05180787295103073,0.05559952184557915,0.058501649647951126,-0.011820469051599503,0.0195000022649765,-0.0195000022649765,win,loss
ai_032_007_cam_00_frame.0071,ai_032_007,native_disparity_mae,0.01876164972782135,0.01660827547311783,0.01845601014792919,0.026084301993250847,0.0003056395798921585,0.01876164972782135,0.015313255600631237,0.01628187485039234,0.018843967467546463,0.0024797748774290085,-0.00217413529753685,0.00217413529753685,win,win
ai_035_003_cam_00_frame.0045,ai_035_003,native_disparity_mae,0.05016367882490158,0.04850674793124199,0.04617021977901459,0.04519224166870117,0.003993459045886993,0.05016367882490158,0.04704759269952774,0.04399043321609497,0.04537547379732132,0.00617324560880661,-0.0021797865629196167,0.0021797865629196167,win,win
ai_035_004_cam_00_frame.0020,ai_035_004,native_disparity_mae,0.023714590817689896,0.021475737914443016,0.02220287173986435,0.02916897088289261,0.0015117190778255463,0.023714590817689896,0.020132334902882576,0.021725764498114586,0.025453589856624603,0.0019888263195753098,-0.0004771072417497635,0.0004771072417497635,win,win
ai_035_004_cam_00_frame.0095,ai_035_004,native_disparity_mae,0.1604936420917511,0.16013793647289276,0.16077899932861328,0.1626897007226944,-0.0002853572368621826,0.1604936420917511,0.1615934669971466,0.16420838236808777,0.16686168313026428,-0.00371474027633667,0.0034293830394744873,-0.0034293830394744873,loss,loss
ai_038_009_cam_00_frame.0069,ai_038_009,native_disparity_mae,0.09589254856109619,0.09251227229833603,0.08754419535398483,0.08592373132705688,0.008348353207111359,0.09589254856109619,0.08675883710384369,0.08802687376737595,0.09183423966169357,0.007865674793720245,0.0004826784133911133,-0.0004826784133911133,win,win
ai_038_009_cam_01_frame.0044,ai_038_009,native_disparity_mae,0.11365853250026703,0.1130678653717041,0.11271452903747559,0.11310666799545288,0.0009440034627914429,0.11365853250026703,0.10610993206501007,0.10244395583868027,0.10132255405187607,0.011214576661586761,-0.010270573198795319,0.010270573198795319,win,win
ai_039_003_cam_00_frame.0018,ai_039_003,native_disparity_mae,0.07604964077472687,0.07262909412384033,0.06901202350854874,0.06597152352333069,0.007037617266178131,0.07604964077472687,0.045473478734493256,0.03451206535100937,0.03022776171565056,0.0415375754237175,-0.03449995815753937,0.03449995815753937,win,win
ai_039_003_cam_00_frame.0093,ai_039_003,native_disparity_mae,0.1755494326353073,0.17323395609855652,0.17253975570201874,0.1775987595319748,0.0030096769332885742,0.1755494326353073,0.16518652439117432,0.1591436266899109,0.157705157995224,0.016405805945396423,-0.013396129012107849,0.013396129012107849,win,win
ai_039_003_cam_01_frame.0068,ai_039_003,native_disparity_mae,0.031027084216475487,0.02998906373977661,0.029820164665579796,0.03209581971168518,0.001206919550895691,0.031027084216475487,0.019734859466552734,0.02318928763270378,0.027054976671934128,0.007837796583771706,-0.006630877032876015,0.006630877032876015,win,win
ai_041_003_cam_00_frame.0042,ai_041_003,native_disparity_mae,0.053965918719768524,0.05076749250292778,0.04570385068655014,0.04414858669042587,0.008262068033218384,0.053965918719768524,0.03531926870346069,0.03062715195119381,0.029797326773405075,0.023338766768574715,-0.015076698735356331,0.015076698735356331,win,win
ai_044_001_cam_00_frame.0017,ai_044_001,native_disparity_mae,0.03752310574054718,0.03323918208479881,0.028243403881788254,0.02782314643263817,0.009279701858758926,0.03752310574054718,0.026285162195563316,0.023065676912665367,0.02377326413989067,0.014457428827881813,-0.005177726969122887,0.005177726969122887,win,win
ai_044_001_cam_00_frame.0091,ai_044_001,native_disparity_mae,0.031482987105846405,0.027452128008008003,0.02239319309592247,0.02225911058485508,0.009089794009923935,0.031482987105846405,0.02128574810922146,0.020572571083903313,0.02187322825193405,0.010910416021943092,-0.0018206220120191574,0.0018206220120191574,win,win
ai_044_001_cam_01_frame.0067,ai_044_001,native_disparity_mae,0.02553379163146019,0.019824868068099022,0.01303371787071228,0.01625007763504982,0.01250007376074791,0.02553379163146019,0.015327555127441883,0.013324794359505177,0.015766706317663193,0.012208997271955013,0.00029107648879289627,-0.00029107648879289627,win,win
ai_044_003_cam_01_frame.0042,ai_044_003,native_disparity_mae,0.03522327169775963,0.027946552261710167,0.01754557155072689,0.02338561788201332,0.017677700147032738,0.03522327169775963,0.023918621242046356,0.023320866748690605,0.025311069563031197,0.011902404949069023,0.005775295197963715,-0.005775295197963715,win,win
ai_044_003_cam_02_frame.0016,ai_044_003,native_disparity_mae,0.03365686535835266,0.028489040210843086,0.023037927225232124,0.02422362007200718,0.010618938133120537,0.03365686535835266,0.011693286709487438,0.010791487991809845,0.011468888260424137,0.022865377366542816,-0.01224643923342228,0.01224643923342228,win,win
ai_044_003_cam_02_frame.0091,ai_044_003,native_disparity_mae,0.028969913721084595,0.023137986660003662,0.017512695863842964,0.020620884373784065,0.01145721785724163,0.028969913721084595,0.012672172859311104,0.011990562081336975,0.013902008533477783,0.01697935163974762,-0.005522133782505989,0.005522133782505989,win,win
ai_044_003_cam_03_frame.0065,ai_044_003,native_disparity_mae,0.04195766523480415,0.03754173964262009,0.03237811475992203,0.031642694026231766,0.009579550474882126,0.04195766523480415,0.0318361297249794,0.03176805377006531,0.033630918711423874,0.010189611464738846,-0.00061006098985672,0.00061006098985672,win,win
ai_045_008_cam_00_frame.0040,ai_045_008,native_disparity_mae,0.13745887577533722,0.13393589854240417,0.12775513529777527,0.12270046770572662,0.00970374047756195,0.13745887577533722,0.0699787437915802,0.03350876644253731,0.03211204707622528,0.10395010933279991,-0.09424636885523796,0.09424636885523796,win,win
ai_045_008_cam_01_frame.0015,ai_045_008,native_disparity_mae,0.026624508202075958,0.023390229791402817,0.019392414018511772,0.020438287407159805,0.007232094183564186,0.026624508202075958,0.019814081490039825,0.018351364880800247,0.019903132691979408,0.008273143321275711,-0.001041049137711525,0.001041049137711525,win,win
ai_045_008_cam_01_frame.0089,ai_045_008,native_disparity_mae,0.053356777876615524,0.04857080429792404,0.04342583566904068,0.04450054094195366,0.009930942207574844,0.053356777876615524,0.04623369872570038,0.04498666524887085,0.04427645355463028,0.008370112627744675,0.0015608295798301697,-0.0015608295798301697,win,win
ai_046_005_cam_00_frame.0064,ai_046_005,native_disparity_mae,0.05310266464948654,0.04914413392543793,0.04390358179807663,0.04468170553445816,0.009199082851409912,0.05310266464948654,0.047035425901412964,0.048618972301483154,0.05173374339938164,0.0044836923480033875,0.004715390503406525,-0.004715390503406525,win,win
ai_047_009_cam_00_frame.0038,ai_047_009,native_disparity_mae,0.04331003874540329,0.04131856560707092,0.04007086902856827,0.04288671538233757,0.003239169716835022,0.04331003874540329,0.03711418807506561,0.03704652935266495,0.03799770399928093,0.006263509392738342,-0.0030243396759033203,0.0030243396759033203,win,win
ai_048_001_cam_00_frame.0013,ai_048_001,native_disparity_mae,0.1571209728717804,0.1571568250656128,0.15736576914787292,0.15788426995277405,-0.0002447962760925293,0.1571209728717804,0.16526806354522705,0.1733092963695526,0.17746230959892273,-0.016188323497772217,0.015943527221679688,-0.015943527221679688,loss,loss
ai_048_001_cam_00_frame.0088,ai_048_001,native_disparity_mae,0.15143057703971863,0.14991191029548645,0.14696377515792847,0.14413121342658997,0.004466801881790161,0.15143057703971863,0.14206212759017944,0.13745316863059998,0.13555610179901123,0.013977408409118652,-0.009510606527328491,0.009510606527328491,win,win
ai_048_001_cam_01_frame.0064,ai_048_001,native_disparity_mae,0.02351880446076393,0.02227906882762909,0.023580467328429222,0.02692597173154354,-6.166286766529083e-05,0.02351880446076393,0.020351741462945938,0.01945572718977928,0.021433722227811813,0.00406307727098465,-0.0041247401386499405,0.0041247401386499405,loss,win
ai_048_001_cam_02_frame.0050,ai_048_001,native_disparity_mae,0.08353264629840851,0.08480732142925262,0.0875139981508255,0.09037657827138901,-0.003981351852416992,0.08353264629840851,0.08742941915988922,0.0909121036529541,0.09400883316993713,-0.007379457354545593,0.003398105502128601,-0.003398105502128601,loss,loss
ai_048_001_cam_03_frame.0029,ai_048_001,native_disparity_mae,0.1427050232887268,0.14442522823810577,0.14873674511909485,0.15435341000556946,-0.006031721830368042,0.1427050232887268,0.17127498984336853,0.1810060441493988,0.18579140305519104,-0.038301020860672,0.032269299030303955,-0.032269299030303955,loss,loss
ai_050_002_cam_00_frame.0004,ai_050_002,native_disparity_mae,0.04320606216788292,0.042551618069410324,0.04454217851161957,0.053005605936050415,-0.0013361163437366486,0.04320606216788292,0.04489836096763611,0.048172056674957275,0.052314434200525284,-0.004965994507074356,0.0036298781633377075,-0.0036298781633377075,loss,loss
ai_050_002_cam_00_frame.0081,ai_050_002,native_disparity_mae,0.0730319693684578,0.07069876044988632,0.06733425706624985,0.0652480497956276,0.005697712302207947,0.0730319693684578,0.07496213167905807,0.07863771915435791,0.08103474974632263,-0.005605749785900116,0.011303462088108063,-0.011303462088108063,win,loss
ai_050_002_cam_01_frame.0056,ai_050_002,native_disparity_mae,0.0359640046954155,0.03471041098237038,0.037106797099113464,0.044058047235012054,-0.0011427924036979675,0.0359640046954155,0.042859114706516266,0.045787639915943146,0.049422234296798706,-0.009823635220527649,0.008680842816829681,-0.008680842816829681,loss,loss
ai_050_002_cam_02_frame.0033,ai_050_002,native_disparity_mae,0.043695222586393356,0.043842703104019165,0.04732745885848999,0.05456127971410751,-0.003632236272096634,0.043695222586393356,0.04314383119344711,0.04227855056524277,0.04263072833418846,0.001416672021150589,-0.005048908293247223,0.005048908293247223,loss,win
