metric,scene,images,official_gain
affine_depth_rel,ai_035_003,1,0.007925156503915787
affine_depth_rel,ai_035_004,2,0.007123854011297226
affine_depth_rel,ai_038_009,2,0.01682540401816368
affine_depth_rel,ai_039_003,3,0.005637723952531815
affine_depth_rel,ai_041_003,1,-0.006716456264257431
affine_depth_rel,ai_044_001,3,0.005510963499546051
affine_depth_rel,ai_044_003,4,-0.0015523158945143223
affine_depth_rel,ai_045_008,3,0.008865737045804659
affine_depth_rel,ai_046_005,1,0.003350391983985901
affine_depth_rel,ai_047_009,1,0.02008478343486786
affine_depth_rel,ai_048_001,5,-0.0016038335859775543
affine_depth_rel,ai_050_002,7,-0.002457566559314728
affine_depth_rel,ai_051_004,7,0.001682419063789504
affine_depth_rel,ai_052_001,3,-0.002382081001996994
affine_depth_rel,ai_052_003,3,-0.0016435794532299042
affine_depth_rel,ai_052_007,2,0.004870595410466194
affine_depth_rel,ai_053_003,2,0.008404877968132496
affine_depth_rel,ai_053_005,1,0.0016592666506767273
affine_depth_rel,ai_055_009,3,-0.0007325919965902964
local_depth_rel,ai_003_010,3,0.0007836961633681007
local_depth_rel,ai_004_003,3,-0.001272734646904635
local_depth_rel,ai_004_004,3,0.0035395362392861233
local_depth_rel,ai_004_010,1,0.0009036295648132062
local_depth_rel,ai_005_005,2,-0.0012993554525550354
local_depth_rel,ai_006_007,1,-9.887995353589571e-05
local_depth_rel,ai_007_001,3,0.0018550876397890371
local_depth_rel,ai_009_007,1,0.0012927328546841962
local_depth_rel,ai_009_009,1,0.0032181968912482276
local_depth_rel,ai_010_007,2,-9.596257748651412e-05
local_depth_rel,ai_012_005,1,-0.007001099176704884
local_depth_rel,ai_015_001,1,-0.0012687953033794948
local_depth_rel,ai_015_004,2,0.015042101847939193
local_depth_rel,ai_016_001,1,-0.001969752212365469
local_depth_rel,ai_016_004,1,0.0006867516785860062
local_depth_rel,ai_017_007,3,0.0011720160361040725
local_depth_rel,ai_018_005,3,0.0015415732757121858
local_depth_rel,ai_019_008,1,-0.0028426034841686487
local_depth_rel,ai_022_010,1,0.0017536995001137257
local_depth_rel,ai_023_003,3,0.0009571768653889497
local_depth_rel,ai_024_012,1,0.00011073196462045229
local_depth_rel,ai_024_013,2,-7.138176200290579e-05
local_depth_rel,ai_028_008,1,0.0029031146356525497
local_depth_rel,ai_030_008,1,0.00223115470726043
local_depth_rel,ai_031_004,1,-0.035033004358410835
local_depth_rel,ai_031_010,2,-0.0034110263412003433
local_depth_rel,ai_032_007,1,0.0015761858146441585
local_depth_rel,ai_035_003,1,0.004586632751549283
local_depth_rel,ai_035_004,1,0.0005729158874601126
local_depth_rel,ai_038_009,2,-0.0011428261806040643
local_depth_rel,ai_039_003,3,0.001207553603927846
local_depth_rel,ai_041_003,1,-0.00022894899862316992
local_depth_rel,ai_044_001,3,0.0012016255621685318
local_depth_rel,ai_044_003,4,-0.000971387672032436
local_depth_rel,ai_045_008,3,0.0007983693705191699
local_depth_rel,ai_046_005,1,0.0001483472529798767
local_depth_rel,ai_047_009,1,0.0027659464627504335
local_depth_rel,ai_048_001,5,5.2989978752465e-05
local_depth_rel,ai_050_002,7,0.0018275177170936434
local_depth_rel,ai_051_004,7,0.00041987509145851497
local_depth_rel,ai_052_001,3,-0.0012612356929123034
local_depth_rel,ai_052_003,3,-3.3846413619661085e-05
local_depth_rel,ai_052_007,2,0.0020355779367188607
local_depth_rel,ai_053_003,2,0.0016743773798603423
local_depth_rel,ai_053_005,1,0.0011591748732730361
local_depth_rel,ai_055_009,3,0.0005558221914624394
local_point_delta_0.01,ai_003_010,3,0.014305484512199929
local_point_delta_0.01,ai_004_003,3,-0.02374269887369281
local_point_delta_0.01,ai_004_004,3,0.022342150658369087
local_point_delta_0.01,ai_004_010,1,0.04580049855368479
local_point_delta_0.01,ai_005_005,2,-0.03033969904636105
local_point_delta_0.01,ai_006_007,1,-0.012479286640882492
local_point_delta_0.01,ai_007_001,3,0.019431174083641107
local_point_delta_0.01,ai_009_007,1,0.024798264106114742
local_point_delta_0.01,ai_009_009,1,0.0710012659430504
local_point_delta_0.01,ai_010_007,2,-0.033798772013849676
local_point_delta_0.01,ai_012_005,1,0.021615318953990936
local_point_delta_0.01,ai_015_001,1,0.04826056957244873
local_point_delta_0.01,ai_015_004,2,-0.005809822518910712
local_point_delta_0.01,ai_016_001,1,-0.058500587940216064
local_point_delta_0.01,ai_016_004,1,0.05712294578552246
local_point_delta_0.01,ai_017_007,3,-0.05038060753070043
local_point_delta_0.01,ai_018_005,3,0.014882237140444047
local_point_delta_0.01,ai_019_008,1,-0.026800617575645447
local_point_delta_0.01,ai_022_010,1,0.001619785325601697
local_point_delta_0.01,ai_023_003,3,0.05478955308596293
local_point_delta_0.01,ai_024_012,1,0.021304578623837944
local_point_delta_0.01,ai_024_013,2,0.015963189552227697
local_point_delta_0.01,ai_028_008,1,-0.02095187952121097
local_point_delta_0.01,ai_030_008,1,0.08222618947426474
local_point_delta_0.01,ai_031_004,1,-0.00954123710592586
local_point_delta_0.01,ai_031_010,2,0.022800916898995632
local_point_delta_0.01,ai_032_007,1,0.080605046333451
local_point_delta_0.01,ai_035_003,1,0.12895771861076355
local_point_delta_0.01,ai_035_004,1,0.019098937511444092
local_point_delta_0.01,ai_038_009,2,-0.049535276274187384
local_point_delta_0.01,ai_039_003,3,0.02406012407607505
local_point_delta_0.01,ai_041_003,1,-0.01953566188995659
local_point_delta_0.01,ai_044_001,3,0.030330755779804857
local_point_delta_0.01,ai_044_003,4,-0.0028307600708847858
local_point_delta_0.01,ai_045_008,3,0.05944542043384108
local_point_delta_0.01,ai_046_005,1,-0.03065578937530511
local_point_delta_0.01,ai_047_009,1,0.016967329382896412
local_point_delta_0.01,ai_048_001,5,0.043859642780488206
local_point_delta_0.01,ai_050_002,7,0.020467182238885946
local_point_delta_0.01,ai_051_004,7,0.0030525054133525337
local_point_delta_0.01,ai_052_001,3,0.01957549830339485
local_point_delta_0.01,ai_052_003,3,-0.016102077698128103
local_point_delta_0.01,ai_052_007,2,0.08531338150302567
local_point_delta_0.01,ai_053_003,2,0.04532203557235853
local_point_delta_0.01,ai_053_005,1,0.039437856721250664
local_point_delta_0.01,ai_055_009,3,-0.02688169546632302
boundary_f1_radius1,ai_003_010,3,0.0001517398841020349
boundary_f1_radius1,ai_004_003,3,-0.0009257084310690203
boundary_f1_radius1,ai_004_004,3,0.0071369297592299985
boundary_f1_radius1,ai_004_010,1,0.001265147259131072
boundary_f1_radius1,ai_005_005,2,0.0027063864912852953
boundary_f1_radius1,ai_006_007,1,-0.0012979038450005587
boundary_f1_radius1,ai_007_001,3,0.003921227026619049
boundary_f1_radius1,ai_009_007,1,0.003316155500048268
boundary_f1_radius1,ai_009_009,1,-0.002789991859577401
boundary_f1_radius1,ai_010_007,2,-0.00027333574080562473
boundary_f1_radius1,ai_012_005,1,0.011030824244486481
boundary_f1_radius1,ai_015_001,1,-0.0010209723653318292
boundary_f1_radius1,ai_015_004,2,0.006989778662257973
boundary_f1_radius1,ai_016_001,1,0.006194185100682481
boundary_f1_radius1,ai_016_004,1,0.005091605554659595
boundary_f1_radius1,ai_017_007,3,0.00960998450056888
boundary_f1_radius1,ai_018_005,3,-0.0027149535772828678
boundary_f1_radius1,ai_019_008,1,-0.001652775318064792
boundary_f1_radius1,ai_022_010,1,0.0013772026334234466
boundary_f1_radius1,ai_023_003,3,0.00753180080263699
boundary_f1_radius1,ai_024_012,1,0.0018954800323161825
boundary_f1_radius1,ai_024_013,2,0.0031929083863316
boundary_f1_radius1,ai_028_008,1,-0.0011692614395517609
boundary_f1_radius1,ai_030_008,1,0.0021910251273393744
boundary_f1_radius1,ai_031_004,1,3.412974871541685e-05
boundary_f1_radius1,ai_031_010,2,-0.0009365145246307272
boundary_f1_radius1,ai_032_007,1,-0.004526848144327522
boundary_f1_radius1,ai_035_003,1,0.013415356768855358
boundary_f1_radius1,ai_035_004,2,-0.004875362871311621
boundary_f1_radius1,ai_038_009,2,-0.0032564699686587484
boundary_f1_radius1,ai_039_003,3,0.007407149209371716
boundary_f1_radius1,ai_041_003,1,0.0010458455497984187
boundary_f1_radius1,ai_044_001,3,0.004077845750187862
boundary_f1_radius1,ai_044_003,4,-0.000939091464187837
boundary_f1_radius1,ai_045_008,3,0.00022788691862159668
boundary_f1_radius1,ai_046_005,1,0.006080366262316783
boundary_f1_radius1,ai_047_009,1,0.0013038773569333806
boundary_f1_radius1,ai_048_001,5,-0.0002366048790511832
boundary_f1_radius1,ai_050_002,7,-0.0022651938843809005
boundary_f1_radius1,ai_051_004,7,0.0013739689551377499
boundary_f1_radius1,ai_052_001,3,-3.491206270824406e-05
boundary_f1_radius1,ai_052_003,3,-0.002452744246635256
boundary_f1_radius1,ai_052_007,2,-0.004230112160743656
boundary_f1_radius1,ai_053_003,2,-0.0005392443692621429
boundary_f1_radius1,ai_053_005,1,0.006498314884993306
boundary_f1_radius1,ai_055_009,3,-0.00908431628565152
